id,title
381,Buffalo Bill's Wild West Show
382,Carnaval en las ramblas
383,Carreras de caballos en el hipódromo de Barcelona
384,Miss Dundee and Her Performing Dogs
385,Les clowns
386,La cour des miracles
387,The Coronation of King Edward VII
388,Danse excentrique
389,Danse fantaisiste
390,Danse mauresque
391,La dent récalcitrante
392,The Enchanted Cup
393,En faction
394,Farces de cuisinière
395,La fiole enchantée
396,Fruits de saison
397,La gavotte
398,La gigue
399,Jack and the Beanstalk
400,Le lion savant
401,Le marchand de ballons
402,Mother Goose Nursery Rhymes
403,Le pommier
404,Pour secouer la salade
405,La première gamelle
406,The Prince of Darkness
407,Procesión de las hijas de María de la parroquia de Sans
408,Quadrille réaliste
409,Midwife to the Upper Classes
410,Demolishing and Building Up the Star Theatre
411,Trompé mais content
412,The Troublesome Fly
413,The Devil's Money Bags
414,Uncle Josh at the Moving Picture Show
415,A Peculiar Cabinet
416,Alcohol and Its Victims
417,A Trip to the Moon
418,The Wild Man of Borneo
419,L'équilibriste
420,Alice in Wonderland
421,Les apaches pas veinards
422,Les aventures d'un voyageur trop pressé
423,The Enchanted Box
424,Les braconniers
425,Buffalo Bill's Parade
426,Buffalo Bill's Street Parade
427,Cake-walk de la pendule
428,Carreras de bicicletas en el parque
429,La chasse au cambrioleur
430,A Chess Dispute
431,Comme on fait son lit on se couche
432,How Monsieur Takes His Bath
433,Compagnons de voyage encombrants
434,Dorothy's Dream
435,Enlèvement en automobile et mariage précipité
436,An Extraordinary Cab Accident
437,Faust et Méphistophélès
438,Le fiancé ensorcelé
439,The Great Train Robbery
440,La guirlande merveilleuse
441,Gulliver en el país de los gigantes
442,Capital Execution
443,Hiawatha
444,Illusionniste renversant
445,Jocko musicien
446,Kit Carson
447,Life of an American Fireman
448,Le liqueur du couvent
449,Lutteurs américains
450,La main du professeur Hamilton ou le roi des dollars
451,Mary Jane's Mishap
452,The Messenger Boy's Mistake
453,Modelage express
454,La mouche
455,The Music Lover
456,N.Y. Fire Department Returning
457,Ne bougeons plus
458,Nos bons étudiants
459,"Panorama of Riker's Island, N.Y."
460,The Pioneers
461,Potage indigeste
462,La poule fantaisiste
463,Puerto de Barcelona
464,Rip Van Winkle
465,The Kingdom of the Fairies
466,Répétition dans un cirque
467,Secours aux naufragés
468,Service précipité
469,The Sick Kitten
470,Les surprises de l'affichage
471,Uncle Tom's Cabin
472,Uncle Tom's Cabin
473,La valise enchantée
474,Le voleur sacrilège
475,Voyage of the 'Arctic'
476,Après la fête
477,L'assassinat du courrier de Lyon
478,Behind the Scenes
479,Rum vs. Cherries
480,Le coffre enchanté
481,A Collier's Life
482,Comment on disperse les foules
483,Les deux rivaux
484,Les enfants du miracle
485,La gavotte de la reine
486,A Gentleman of France
487,The Great Train Robbery
488,The Land Beyond the Sunset
489,La leçon de pipeau
490,L'oiseau envolé
491,Opening the Williamsburg Bridge
492,Personal
493,"Pierrot, Murderer"
494,Le pompon malencontreux
495,The Pearl Fisher
496,Railroad Smashup
497,A Railway Tragedy
498,Rescued by Rover
499,An Impossible Voyage
500,The Abductors
501,Adventures of Sherlock Holmes
502,Bohemios
503,"Corrida de beneficencia en Zaragoza, por Quinito y Montes"
504,Coso y Paseo de Santa Engracia (Calles y plazas de Zaragoza)
505,The Wig Chase
506,The Effects of Too Much Scotch
507,Departure of Peary and the Roosevelt from New York
508,Desde el coso a la calle Cerdán (Calles y plazas de Zaragoza)
509,The Inexperienced Chauffeur
510,El dúo de la Africana
511,Esmeralda
512,Funeral of Hiram Cronk
513,Gigantes y cabezudos
514,Los guapos de la Vaquería del Parque
515,Los guapos del parque
516,The Electric Hotel
517,El húsar de la guardia
518,Juanito el forzudo
519,The Kleptomaniac
520,The Life of Charles Peace
521,The Little Train Robbery
522,The Moonshiners
523,Moose Hunting in Newfoundland
